batter_a,year,strikeout_mean.1.00,strikeout_mean.2.00,strikeout_mean.3.00,strikeout_mean.4.00,strikeout_mean.5.00,strikeout_mean.6.00,strikeout_mean.7.00,strikeout_mean.8.00,walk_mean.1.00,walk_mean.2.00,walk_mean.3.00,walk_mean.4.00,walk_mean.5.00,walk_mean.6.00,walk_mean.7.00,walk_mean.8.00
ramih003,"2,014.00",0.18,0.13,0.15,0.17,0.15,0.07,0.20,0.22,0.13,0.07,0.08,0.07,0.18,0.13,0.07,0.05
ramih003,"2,016.00",0.23,0.22,0.22,0.15,0.15,0.15,0.23,0.20,0.02,0.07,0.07,0.10,0.10,0.17,0.05,0.07
ramij003,"2,016.00",0.08,0.07,0.12,0.20,0.07,0.08,0.12,0.13,0.02,0.13,0.12,0.05,0.05,0.08,0.05,0.05
ramow001,"2,015.00",0.13,0.17,0.17,0.25,0.20,0.22,0.17,0.25,0.02,0.05,0.03,0.03,0.05,0.05,0.03,0.05
ramow001,"2,016.00",0.12,0.15,0.08,0.15,0.13,0.12,0.13,0.22,0.02,0.08,0.08,0.05,0.13,0.07,0.03,0.05
rasmc001,"2,012.00",0.18,0.28,0.10,0.18,0.17,0.18,0.22,0.27,0.05,0.05,0.10,0.03,0.07,0.08,0.08,0.02
rasmc001,"2,015.00",0.38,0.35,0.25,0.37,0.25,0.28,0.32,0.25,0.08,0.10,0.10,0.07,0.08,0.10,0.05,0.17
realj001,"2,015.00",0.13,0.13,0.13,0.15,0.18,0.13,0.20,0.10,0.02,0.07,0.00,0.07,0.02,0.05,0.03,0.03
realj001,"2,016.00",0.15,0.15,0.17,0.20,0.17,0.17,0.18,0.22,0.02,0.00,0.07,0.05,0.08,0.05,0.12,0.03
reddj001,"2,012.00",0.18,0.13,0.23,0.18,0.37,0.18,0.18,0.30,0.00,0.05,0.12,0.13,0.08,0.15,0.07,0.02
reddj001,"2,015.00",0.07,0.10,0.13,0.08,0.05,0.18,0.07,0.07,0.10,0.13,0.05,0.12,0.00,0.05,0.03,0.08
renda001,"2,014.00",0.15,0.15,0.17,0.12,0.20,0.15,0.12,0.17,0.05,0.05,0.02,0.17,0.08,0.07,0.07,0.07
renda001,"2,016.00",0.15,0.10,0.23,0.20,0.25,0.20,0.17,0.12,0.08,0.08,0.15,0.15,0.07,0.17,0.03,0.12
reveb001,"2,012.00",0.08,0.03,0.07,0.10,0.10,0.08,0.10,0.12,0.05,0.02,0.02,0.08,0.07,0.02,0.07,0.07
reveb001,"2,014.00",0.15,0.10,0.05,0.08,0.07,0.05,0.07,0.10,0.03,0.00,0.02,0.03,0.03,0.03,0.00,0.00
reveb001,"2,015.00",0.13,0.10,0.02,0.18,0.07,0.05,0.05,0.18,0.03,0.05,0.08,0.05,0.03,0.07,0.02,0.08
reyej001,"2,012.00",0.13,0.03,0.03,0.08,0.12,0.15,0.05,0.08,0.07,0.13,0.08,0.10,0.07,0.07,0.05,0.03
reyej001,"2,014.00",0.15,0.07,0.10,0.10,0.12,0.12,0.10,0.12,0.05,0.13,0.08,0.05,0.07,0.03,0.05,0.07
reyej001,"2,015.00",0.12,0.22,0.08,0.12,0.05,0.13,0.10,0.08,0.03,0.03,0.07,0.05,0.07,0.07,0.00,0.08
reynm001,"2,012.00",0.38,0.23,0.27,0.32,0.35,0.25,0.22,0.33,0.13,0.18,0.15,0.08,0.08,0.13,0.20,0.12
reynm001,"2,013.00",0.22,0.23,0.32,0.32,0.42,0.37,0.30,0.30,0.10,0.12,0.12,0.07,0.13,0.08,0.13,0.07
riosa002,"2,012.00",0.10,0.10,0.13,0.13,0.15,0.13,0.08,0.18,0.07,0.02,0.07,0.02,0.02,0.05,0.03,0.00
riosa002,"2,013.00",0.13,0.15,0.17,0.15,0.18,0.17,0.17,0.17,0.08,0.12,0.05,0.05,0.05,0.05,0.05,0.03
riosa002,"2,014.00",0.12,0.15,0.23,0.10,0.20,0.23,0.18,0.18,0.05,0.03,0.05,0.00,0.07,0.03,0.03,0.02
rizza001,"2,013.00",0.27,0.20,0.10,0.18,0.12,0.15,0.22,0.20,0.12,0.07,0.05,0.05,0.17,0.07,0.12,0.18
rizza001,"2,014.00",0.13,0.17,0.13,0.22,0.25,0.12,0.23,0.13,0.07,0.23,0.12,0.15,0.10,0.05,0.05,0.07
rizza001,"2,015.00",0.12,0.12,0.05,0.13,0.18,0.10,0.15,0.15,0.12,0.12,0.08,0.12,0.07,0.10,0.13,0.03
rizza001,"2,016.00",0.17,0.08,0.12,0.10,0.18,0.20,0.25,0.18,0.12,0.17,0.08,0.13,0.08,0.08,0.05,0.13
rober002,"2,012.00",0.20,0.12,0.20,0.12,0.18,0.20,0.25,0.20,0.10,0.08,0.05,0.02,0.15,0.12,0.05,0.08
rodra001,"2,012.00",0.13,0.20,0.20,0.27,0.20,0.28,0.13,0.30,0.10,0.15,0.08,0.05,0.12,0.08,0.02,0.07
rodra001,"2,015.00",0.27,0.17,0.23,0.13,0.18,0.23,0.22,0.20,0.17,0.08,0.07,0.15,0.12,0.15,0.10,0.17
rollj001,"2,012.00",0.20,0.15,0.10,0.13,0.10,0.13,0.18,0.07,0.03,0.07,0.12,0.03,0.05,0.12,0.07,0.10
rollj001,"2,013.00",0.18,0.17,0.13,0.12,0.12,0.07,0.12,0.20,0.07,0.07,0.03,0.10,0.12,0.10,0.00,0.05
rollj001,"2,014.00",0.13,0.13,0.22,0.12,0.20,0.13,0.07,0.12,0.10,0.08,0.17,0.15,0.07,0.05,0.08,0.07
rollj001,"2,015.00",0.20,0.18,0.10,0.15,0.15,0.08,0.10,0.20,0.12,0.08,0.08,0.03,0.02,0.08,0.08,0.03
rosae001,"2,015.00",0.28,0.22,0.18,0.23,0.27,0.28,0.27,0.20,0.03,0.05,0.03,0.02,0.02,0.02,0.02,0.02
rosaw001,"2,013.00",0.25,0.17,0.20,0.27,0.20,0.35,0.13,0.25,0.03,0.05,0.03,0.07,0.05,0.02,0.00,0.00
rossc001,"2,012.00",0.32,0.27,0.13,0.25,0.22,0.18,0.23,0.27,0.08,0.07,0.10,0.13,0.05,0.05,0.07,0.07
ruggj001,"2,013.00",0.17,0.33,0.23,0.23,0.20,0.22,0.27,0.22,0.07,0.10,0.10,0.03,0.10,0.12,0.05,0.08
russa002,"2,015.00",0.43,0.30,0.22,0.30,0.25,0.15,0.28,0.40,0.03,0.10,0.08,0.08,0.13,0.02,0.03,0.07
